"syntax","description","expression","tio_link"
"(×/({(¯1+⍺*⍵+1)÷⍺-1}⌿2∘dfns.pco))Js","Sum of positive divisors of Js (fast +/∘∪⊢∨⍳)","'pco'⎕CY'dfns'
⎕← (×/({(¯1+⍺*⍵+1)÷⍺-1}⌿2∘pco)) 12","https://tio.run/##SyzI0U2pTMzJT///X70gOV/9Ud9U50j1lLS8YnUuIPtR2wQFjcPT9TWqNQ6tN9R@1LtL61HvVm1DzcPbgWxdw9pHPfuNHnXMAGrV1FQwNPr/HwA"
"As{((¯1*⊃)×2⊥⊃≠,)⊖⍣⍺⊢(8÷⍨≢⍵)8⍴⍵}Bv","Convert bits Bv representing a signed integer of As-endianess (0:big, 1:little) into a number","⎕← 1 {((¯1*⊃)×2⊥⊃≠,)⊖⍣⍺⊢(8÷⍨≢⍵)8⍴⍵} 64↑1 1
⎕← 1 {((¯1*⊃)×2⊥⊃≠,)⊖⍣⍺⊢(8÷⍨≢⍵)8⍴⍵} ~64↑1 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFao1NA6tN9R61NWseXi60aOupUDWo84FOpqPuqY96l38qHfXo65FGhaHtz/qXfGoc9Gj3q2aFo96twDpWgUzk0dtEw0VDLmoYlodzLj//wE"
"(1⌽'$^','\*' '\?' '\W'⎕R'.*' '.' '\\&')Dv","Convert globbing pattern to regex","⎕← (1⌽'$^','\*' '\?' '\W'⎕R'.*' '.' '\\&') 'abc???xyz.d*'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0DB/17FVXiVPXUY/RUldQj7EHEeHqQOkgdT2QiB5IIEZNXVNBPTEp2d7evqKySi9FS/3/fwA"
"Xv(1⊥=)Yv","Count number of trailing elements that are equal between two vectors of equal length","⎕← 'Cloud' (1⊥=) 'Proud'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUnXPyS1PUFTQMH3UttdVUUA8oAvH//wcA"
"Xv(1⊥≠)Yv","Count number of trailing elements that are unequal between two vectors of equal length","⎕← 'Analyst' (1⊥≠) 'Anatomy'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUHfMScyqLS9QVNAwfdS191LlAEyxWkp9bqf7/PwA"
"{⎕CSV ⍵ ⍬ 4 1}Dv","Data matrix and column titles as 2-element vector from CSV (file or vector of vectors), with apparent numbers as numbers","(⊂'42.0' '-1e-3' '+2e+2')⎕NPUT'nums.txt'
⎕← {,⎕CSV ⍵ ⍬ 2} 'nums.txt'","https://tio.run/##SyzI0U2pTMzJT///X@NRV5O6iZGegbqCuq5hqq4xkNY2StU2Utd81DfVLyA0RD2vNLdYr6SiRJ0LKPKobYJCtQ6Q4RwcpvCodysQr1EwqlVAqPr/HwA"
"{,⎕CSV ⍵ ⍬ 2}Dv","Numeric vector from text file with one number on each line","(⊂'42.0' '-1e-3' '+2e+2')⎕NPUT'nums.txt'
⎕← {,⎕CSV ⍵ ⍬ 2} 'nums.txt'","https://tio.run/##SyzI0U2pTMzJT///X@NRV5O6iZGegbqCuq5hqq4xkNY2StU2Utd81DfVLyA0RD2vNLdYr6SiRJ0LKPKobYJCtQ6Q4RwcpvCodysQr1EwqlVAqPr/HwA"
"Ms{0 ⍺⊤⍵}N","Integer quotient and remainder (new leading length-2 axis) of N divided by Ms","⎕← 3 {0 ⍺⊤⍵} 10 11 12 13","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFaoNFB717nrUteRR79ZaBUMDBUNDBUMjBUPj//8B"
"(+/1 1∘⍉)Nm","Matrix Trace: Sum of main diagonal","⎕← A ← 3 3⍴⍳9
⎕← (+/1 1∘⍉) A","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQcFUCksYLxo94tj3o3W3JBxTW09Q0VDB91zHjU26mp4Pj/PwA"
"(0∧.=1 1∘⍉)Nm","Is Nm traceless?","⎕← A ← 3 3⍴⍳9
⎕← (0∧.=1 1∘⍉) A
⎕← B ← 3 3⍴0 1 2 3
⎕← (0∧.=1 1∘⍉) B","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQcFUCksYLxo94tj3o3W3JBxTUMHnUs17M1VDB81DHjUW@npoIjTMoJSYuBgqGCkYIxbl1O//8DAA"
"X{>/⍋⍺⍵}Y","Is X lexically greater than Y?","⎕← 'Anna' {>/⍋⍺⍵} 'Bob'
⎕← 'Anna' {>/⍋⍺⍵} 'Anna'
⎕← 'Bob' {>/⍋⍺⍵} 'Anna'
⎕← 'Anna' {>/⍋⍺⍵} 'Anna '  ⍝ a trailing space comes after no trailing space","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUHfPyEtUVqu30H/V2P@rd9ah3a62CulN@kjoXXhVgQbgSkHr8KnAaoqCuoPCod65CokJJUWJmTmZeukJxQWJyqkJyfm5qsUJiWklqkUJePprs//8A"
"X{>/⍒⍺⍵}Y","Is X lexically less than Y?","⎕← 'Anna' {>/⍒⍺⍵} 'Bob'
⎕← 'Anna' {>/⍒⍺⍵} 'Anna'
⎕← 'Bob' {>/⍒⍺⍵} 'Anna'
⎕← 'Anna' {>/⍒⍺⍵} 'Anna '  ⍝ a trailing space comes after no trailing space","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUHfPyEtUVqu30H/VOetS761Hv1loFdaf8JHUuvCrAgnAlIPX4VeA0REFdQeFR71yFRIWSosTMnMy8dIXigsTkVIXk/NzUYoXEtJLUIoW8fDTZ//8B"
"M{⍵⊤⍨↑⍬⍺}N","Integer quotient and remainder (new leading length-2 axis) of all combinations of an element from N divided by an element from M","⎕← 2 3 4 5 6 {⍵⊤⍨↑⍬⍺} 10","https://tio.run/##ATYAyf9hcGwtZHlhbG9n///ijpXihpAgMiAzIDQgNSA2IHvijbXiiqTijajihpHijazijbp9IDEw//8"
"Cv{≢⍺⎕S 3⊢⍵}Dv","Count number of matches for PCRE regex Cv in Dv","⎕←'(\w)\1'{≢⍺⎕S⍬⊢⍵}'Mississippi'  ⍝ double-letters","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtE9Q1Yso1YwzVqx91LnrUuwsoGPyod82jLiBna626b2ZxMQgVFGSqKyg86p2rkJJfmpSTqpuTWlKSWlT8/z8A"
"Bv{⍺⍀⍺⌿⍵}Y","Replacing major cells of Y not satisfying Bv with prototypical cells","⎕← 1 1 0 1 1 1 0 1 {⍺⍀⍺⌿⍵} 'Amazing!'
⎕← 1 1 0 {⍺⍀⍺⌿⍵} (3 1 4)(2 7 18)(1 6 18)","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMgdAATELo6ke9ux71NoDInv2PerfWKqg75iZWZealK6pzoejBVKlhDJQw0dQwUjBXMLTQ1DBUMAPR//8DAA"
"{1=-/¨⍳2⍴⍵}Jv","Subdiagonal matrix of size Jv (n or m,n)","⎕←{1=-/¨⍳2⍴⍵} 6 7","https://tio.run/##ASoA1f9hcGwtZHlhbG9n///ijpXihpB7MT0tL8Ko4o2zMuKNtOKNtX0gNiA3//8"
"{¯1=-/¨⍳2⍴⍵}Jv","Superdiagonal matrix of size Jv (n or m,n)","⎕←{¯1=-/¨⍳2⍴⍵} 6 7","https://tio.run/##ASwA0/9hcGwtZHlhbG9n///ijpXihpB7wq8xPS0vwqjijbMy4o204o21fSA2IDf//w"
"Iv{1@⍵⊢0⍴⍨2⍴⍺}Jv","Adjacency matrix of size Iv (n or m,n) from list of (a,b) arcs Jv","⎕←4 7 {1@⍵⊢0⍴⍨2⍴⍺} (1 6)(2 7)(3 1)","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtE0wUzBWqDR0e9W591LXI4FHvlke9K4zA1K5aBQ1DBTNNDSMFc00NYwVDzf//AQ"
"{1≥|-/¨⍳2⍴⍵}Jv","Tridiagonal matrix of size Jv (n or m,n)","⎕←{1≥|-/¨⍳2⍴⍵} 6 7","https://tio.run/##AS0A0v9hcGwtZHlhbG9n///ijpXihpB7MeKJpXwtL8Ko4o2zMuKNtOKNtX0gNiA3//8"
"{2≥|-/¨⍳2⍴⍵}Jv","Pentadiagonal matrix of size Jv (n or m,n)","⎕←{2≥|-/¨⍳2⍴⍵} 6 7","https://tio.run/##AS0A0v9hcGwtZHlhbG9n///ijpXihpB7MuKJpXwtL8Ko4o2zMuKNtOKNtX0gNiA3//8"
"{3≥|-/¨⍳2⍴⍵}Jv","Heptadiagonal matrix of size Jv (n or m,n)","⎕←{3≥|-/¨⍳2⍴⍵} 6 7","https://tio.run/##AS0A0v9hcGwtZHlhbG9n///ijpXihpB7M@KJpXwtL8Ko4o2zMuKNtOKNtX0gNiA3//8"
"((⌽∨⊖)1∊¨⍳)Jv","All-zero matrix of shape Jv with ones along edges","⎕← ((⌽∨⊖)1∊¨⍳) 4 5","https://tio.run/##AS8A0P9hcGwtZHlhbG9n///ijpXihpAgKCjijL3iiKjiipYpMeKIisKo4o2zKSA0IDX//w"
"Av{⍵⌷⍨⊂⍒+\⍺}Y","Reverse order of partitions in Y as indicated by Av (Fast ∊⌽Av⊂Yv)","⎕← 1 0 0 0 1 1 0 0 {⍵⌷⍨⊂⍒+\⍺} 'abcd-XYZ'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFQzA0BDKqn7Uu/VRz/ZHvSsedTU96p2kHfOod1etgnpiUnKKbkRklPr//wA"
"{⍵/⍨~'  '⍷⍵}Dv","Remove multiple blanks","⎕← {⍵/⍨~'  '⍷⍵} 'If     only I    knew  how to   do   proper word   spacing'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSqH/Vu1X/Uu6JOXUFB/VHvdiC3VkHdM00BBPLzcioVPEGs7LzUcgWFjPxyhZJ8IDcFRBQU5RekFimU5xelAHnFBYnJmXnp6v//AwA"
"{⎕D[1+⍉10⊥⍣¯1⊢⍵]}Jv","Zero-padded character matrix from vector of integers","⎕← {⎕D[1+⍉10⊥⍣¯1⊢⍵]} 31 0 2718","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSqgbRLtKH2o95OQ4NHXUsf9S4@tN7wUdeiR71bY2sVjA0VDBSMzA0t/v8HAA"
"Is{⍺=-⍨/¨⍳2⍴⍵}Jv","Is-diagonal matrix of size Jv (n or m,n)","⎕←¯2 {⍺=-⍨/¨⍳2⍴⍵} 6 7","https://tio.run/##ATMAzP9hcGwtZHlhbG9n///ijpXihpDCrzIge@KNuj0t4o2oL8Ko4o2zMuKNtOKNtX0gNiA3//8"
"X{⍵⌿⍨⍺∊⍨⊣/⍵}Ym","Rows of non-empty matrix Y starting with an element in X","m ← ↑'Lorem' 'ipsum' 'dolor' 'sit' 'amet' 'consectetur' 'adipiscing' 'elit'
⎕← 'aeiou' {⍵⌿⍨⍺∊⍨⊣/⍵} m","https://tio.run/##SyzI0U2pTMzJT///P1fhUdsEIJ6o7pNflJqrrqCeWVBcCqJT8nPyi4B0cWYJkEzMTQVRyfl5xanJJaklpSCpxJTMgszi5My8dCAnNQeokOtR31SQgeqJqZn5peoK1Y96tz7q2f@od8Wj3l2POrpAjK7F@kDRWoXc//8B"
"Iv{⍵⌷⍨⊂⍺∪⍳≢⍵}Y","Move major cells at positions Iv to the front/top","⎕← 3 2 {⍵⌷⍨⊂⍺∪⍳≢⍵} 'Hello'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFYwUqh/1bn3Us/1R74pHXU2Penc96lj1qHfzo85FQPFaBXWP1JycfPX//wE"
"Av{≠\⍵\⍺≠¯1↓0,⍺}Bv","Compression vector Av for partitioned array indicated by Bv (Fast Av/⍨≢¨⊆⍨Bv)","⎕← 1 0 1 0 {≠\⍵\⍺≠¯1↓0,⍺} 1 0 0 1 0 1 0 1 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFQzAuPpR54KYR71bgXgXkHloveGjtskGOkBeLVjeAK4SiP//BwA"
"Av{⍵[⍋⍺++\⍺]}Bv","1-rotate on each subvector of Bv indicated by Av (Fast ∊1⌽¨Av⊂Bv)","⎕← 1 0 0 0 1 0 0 {⍵[⍋⍺++\⍺]} 'abcdEFG'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFQzAEEJXP@rdGv2ot/tR7y5t7RggGVuroJ6YlJzi6uau/v8/AA"
"{⍵/⍨' '∨.≠⍵}Dm","Remove blank columns","⎕← mat ← 2 8⍴' 2   a     a a  '
⎕← {⍵/⍨' '∨.≠⍵} mat","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExRyE0sUQLSRgsWj3i3qQFpBIVFBAUwCaXUuqLrqR71b9R/1rlBXUH/UsULvUecCoEAtSPv//wA"
"{⍵⌿⍨⍵∨.≠' '}Dm","Remove blank rows","⎕← mat ← 8 2⍴'  2    a  aa    '
⎕← '--'
⎕← {⍵⌿⍨⍵∨.≠' '} mat","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExRyE0sUQLSFgtGj3i3qCgpGCkCQCESJIIY6F1Sduq4unF39qHfro579j3pXgBgdK/QedS5QV1CvBRn2/z8A"
"(∪(⌿⍨)1≠⊢∘≢⌸)Y","Non-unique major cells","⎕← (∪(⌿⍨)1≠⊢∘≢⌸) 'abracadabra!'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HnWs0njUs/9R7wpNw0edCx51LXrUMeNR56JHPTs0FdQTk4oSkxNTQJSi@v//AA"
"{n⍪⍉↑⍵⍎¨n←⍵.⎕NL¯2}Ys","Convert namespace of column vectors into table (matrix with names in header row)","⎕← {n⍪⍉↑⍵⍎¨n←⍵.⎕NL¯2} ⎕JSON'{""Age"":[""21"",""32""],""Name"":[""Bob"",""Sally""],""Zipcode"":[""30102"",""43001""]}'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSq8x71rnrU2/mobeKj3q2PevsOrcgDigPZekAVfj6H1hvVKgBZXsH@furVSo7pqUpW0UpGhko6SsZGSrE6Sn6JuWAhp/wkoFhwYk5OJUg4KrMgOT8FLGNsYGhgBJQzMTYwMFSKrVX//x8A"
"{⍵/⍨2∨/0,' '≠⍵}Dv","Remove leading and multiple blanks","⎕← ( {⍵/⍨2∨/0,' '≠⍵} '      If     only I    knew  how to   do   proper word   spacing    ' ), '.'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0FKof9W7Vf9S7wuhRxwp9Ax11BfVHnQuAYrUK6gpg4JkGpvLzcioVPEGs7LzUcgWFjPxyhZJ8IDcFRBQU5RekFimU5xelAHnFBYnJmXnpIMXqCpo6Cup66v//AwA"
"Cv{⍺⎕S'&'⍠'OM'1⊢⍵}Dv","Find all matches (even overlapping) for regex Cv in Dv","⎕← 'a.' {⍺⎕S'&'⍠'OM'1⊢⍵} 'abaac'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUE/XUFaof9e4C8oPV1dQf9S5Q9/dVN3zUtehR79ZaoHxSYmKy@v//AA"
"Is{⎕A[1+26|⍺-1-⎕A⍳⍵]}D","Caesar's cipher for uppercase D (Is:encryption, -Is:decryption)","⎕← 3 {a[27|⍺+⍵⍳⍨a←27↑⎕A]} 'HELLO'
⎕← ¯3 {a[27|⍺+⍵⍳⍨a←27↑⎕A]} 'KHOOR'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFaoTo43Max717tJ@1Lv1Ue/mR70rEoEyRuaP2iYCFTnG1iqoe7j6@Pirc0H1HFpPnC5vD3//IPX//wE"
"{⍵/⍨2∨/0,⍨' '≠⍵}Dv","Remove multiple and trailing blanks","⎕← {⍵/⍨2∨/0,⍨' '≠⍵} '      If     only I    knew  how to   do   proper word   spacing    '","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSqH/Vu1X/Uu8LoUccKfQMdIEtdQf1R5wKgcK2CugIYeKaBqfy8nEoFTxArOy@1XEEhI79coSQfyE0BEQVF@QWpRQrl@UUpQF5xQWJyZl46SLH6//8A"
"Ms{⍵×⍺÷⍵[⊃⍒|⍵]}Nv","Scale Nv so the maximum element is Ms","⎕←5 {⍵×⍺÷⍵[⊃⍒|⍵]} ¯2 ¯1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtE0wVqh/1bj08/VHvrsPbgazoR13Nj3on1QCZsbUKh9YbAbHh//8A"
"Cv{~⍺'$'⎕S 3⍠'ML'1⊢⍵}Dv","Indicate which lines of Dv have a match for regular expression Cv","⎕← '.o' {~⍺'$'⎕S 3⍠'ML'1⊢⍵} 'Hello' 'world' 'how' 'are' 'you'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTU9fLVFarrHvXuUldRB4oFKxg/6l2g7uujbvioa9Gj3q21CuoeqTk5QFXq5flFOSlAOiO/HEgmFqUCycr8UvX//wE"
"Is{⊃⍺⎕DT⊢/'-: T.'⎕VFI⍵}Dv","Convert Extended ISO date ('1234-05-06 10:20:30.456' or '1234-05-06T10:20:30.456' or prefix thereof) to ⎕DR type Is","⎕← ⎕VFI '2 -2 ¯2'
⎕← ',' ⎕VFI '3.9,2.4,,76,'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAVJibp4K6kYKukcKh9UbqXFAJdR11uKSxnqWOkZ6Jjo65mY76//8A"
"{⍵/⍨⌽∨\⌽' '∨.≠⍵}Dm","Remove trailing blank columns","⎕← ( 2 10⍴' 2    a       a a    ' ), '||'
⎕← ( {⍵/⍨⌽∨\⌽' '∨.≠⍵} 2 10⍴' 2    a       a a    ' ), '||'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0FIwUDA0e9W5RBzKAIFEBAhIhLHUFTR0F9ZoadS64@upHvVv1H/WueNSz91HHihggpa6gDmTpPepcAJSqJdLA//8B"
"Mv{×11○(⍵-1↓⍺)×+2-/⍺}Ns","Sign (side) of point Ns relative to bisections of complex plane by directed edges of Mv","⎕← 0J¯1 0J1 {×11○(⍵-1↓⍺)×+2-/⍺} 1J0
⎕← 0J¯1 0J1 {×11○(⍵-1↓⍺)×+2-/⍺} 0J0
⎕← 0J1 0J¯1 {×11○(⍵-1↓⍺)×+2-/⍺} 1J0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMvA6tNwSShgrVh6cbGj6a3q3xqHerruGjtsmPendpHp6ubaSrD2TVKhh6GXCRrMkAWZMhVCMRNv3/DwA"
"{⌿∘⍵¨↓⌽⍉2⊥⍣¯1⍳¯1+2*≢⍵}Y","Powerset: All subsets of Y, including the empty set (0⌿Y) but excluding Y itself","⎕← {⌿∘⍵¨↓⌽⍉2⊥⍣¯1⍳¯1+2*≢⍵} 'ABCD'
⎕← {⌿∘⍵¨↓⌽⍉2⊥⍣¯1⍳¯1+2*≢⍵} 3 2⍴'AaBbCc'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSqH/Xsf9Qx41Hv1kMrHrVNftSz91Fvp9GjrqWPehcfWm/4qHczkNQ20nrUuQioplZB3dHJ2UWdi0zdxgpGj3q3qDsmOiU5J6v//w8A"
"Av{⍵/⍨(+\⍵=⊃⍵)∊⍸⍺}Dv","Compress delimited string Dv (where the first character is the delimiter) using compression vector Av","⎕← 1 0 1 {⍵/⍨(+\⍵=⊃⍵)∊⍸⍺} '/here/be/dragons'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFQyAuPpR71b9R70rNLRjgCzbR13NQErzUUfXo94dj3p31Sqo62ekFqXqJ6XqpxQlpufnFav//w8A"
"{⍵(⊢⍪∘.⍎)(⊃⍵).⎕NL¯2}Yv","Convert vector of record namespaces into table (matrix with names in header row)","⎕← {⍵(⊢⍪∘.⍎)(⊃⍵).⎕NL¯2} ⎕JSON'[{""Age"":""21"",""Name"":""Bob"",""Zipcode"":""30102""},{""Age"":""32"",""Name"":""Sally"",""Zipcode"":""43001""}]'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSqH/Vu1XjUtehR76pHHTP0HvX2aQK5zUBRTT2gEj@fQ@uNahWALK9gfz/16Golx/RUJSslI0MlHSW/xFwQ2yk/CciJyixIzk8B8Y0NDA2MlGp1YGqNjRBqgxNzcipRVJsYGxgYKtXGqv//DwA"
"{0⎕NCREATE⍠'Unique'1⍨(739⌶0),'/',⍵}Dv","Create and tie temporary file with pattern Dv (returns tie number)","⎕← tn ← {0⎕NCREATE⍠'Unique'1⍨(739⌶0),'/',⍵} '_.tmp'
⎕← ⊃⎕NINFO tn","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExRK8hRAVLUBkO/nHOTqGOL6qHeBemheZmFpqrrho94VGubGlo96thlo6qjrq@s86t1aq6Aer1eSW6DOBTXjUVczSLenn5s/0Lz//wE"
"{⌿∘⍵¨↓⌽⍉2⊥⍣¯1⊢⍳¯2+2*≢⍵}Y","Powerset: All subsets of Y, excluding the empty set (0⌿Y) and Y itself","⎕← {⌿∘⍵¨↓⌽⍉2⊥⍣¯1⊢⍳¯2+2*≢⍵} 'ABCD'
⎕← {⌿∘⍵¨↓⌽⍉2⊥⍣¯1⊢⍳¯2+2*≢⍵} 3 2⍴'AaBbCc'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSqH/Xsf9Qx41Hv1kMrHrVNftSz91Fvp9GjrqWPehcfWm/4qGvRo97Nh9YbaRtpPeoEsrfWKqg7Ojm7qHORb4CxgtGj3i3qjolOSc7J6v//AwA"
"{⌿∘⍵¨↓⌽⍉2⊥⍣¯1⊢¯1+⍳2*≢⍵}Y","Powerset: All subsets of Y, including the empty set (0⌿Y) and Y itself","⎕← {⌿∘⍵¨↓⌽⍉2⊥⍣¯1⊢¯1+⍳2*≢⍵} 'ABCD'
⎕← {⌿∘⍵¨↓⌽⍉2⊥⍣¯1⊢¯1+⍳2*≢⍵} 3 2⍴'AaBbCc'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSqH/Xsf9Qx41Hv1kMrHrVNftSz91Fvp9GjrqWPehcfWm/4qGsRkNR@1LvZSOtR5yKgsloFdUcnZxd1LvINMFYwetS7Rd0x0SnJOVn9/38A"
"{(⊂⍋∊⍳∘≢¨⍵)⌷⊃⍪/⍵}Yv","Mesh major cells of elements of Yv","⎕← {(⊂⍋∊⍳∘≢¨⍵)⌷⊃⍪/⍵} 'abc'⎕D'ABCDEF'
⎕← {(⊂⍋∊⍳∘≢¨⍵)⌷⊃⍪/⍵} (4 2⍴'aabbccdd')(2 2⍴'AABB')","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSqNR51NT3q7X7U0fWod/OjjhmPOhcdWvGod6vmo57tj7qaH/Wu0gfyahXUE5OS1YGaXNQdnZxdXN3UuUg1QcNEwehR7xb1xMSkpOTklBR1TQ0jiIijo5OTuub//wA"
"{⍵↓⍨-+/∧\⌽⍵∧.=' '}Dm","Remove trailing blank rows","⎕← mat ← 10 2⍴'  2    a  aa        '
⎕← '--'
⎕← {⍵↓⍨-+/∧\⌽⍵∧.=' '} mat","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExRyE0sUQLShgYLRo94t6goKRgpAkAhEiQpQoM4FVayuqwtnVz/q3fqobfKj3hW62vqPOpbHPOrZCxLqWK5nq66gXgsy@f9/AA"
"{⌿∘⍵¨↓⌽⍉2⊥⍣¯1⊢¯1+⍳¯1+2*≢⍵}Y","Powerset: All subsets of Y, excluding the empty set (0⌿Y) but including Y itself","⎕← {⌿∘⍵¨↓⌽⍉2⊥⍣¯1⊢¯1+⍳¯1+2*≢⍵} 'ABCD'
⎕← {⌿∘⍵¨↓⌽⍉2⊥⍣¯1⊢¯1+⍳¯1+2*≢⍵} 3 2⍴'AaBbCc'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSqH/Xsf9Qx41Hv1kMrHrVNftSz91Fvp9GjrqWPehcfWm/4qGsRkNR@1LsZRBlpPepcBFRaq6Du6OTsos5FmSHGCkaPereoOyY6JTknq///DwA"
"{⍵/⍨(∨\∧∘⌽∨\∘⌽)' '≠⍵}Dv","Remove leading and trailing blanks","⎕← {⍵/⍨(∨\∧∘⌽∨\∘⌽)' '≠⍵} '      If     only I    knew  how to   do   proper word   spacing    '","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSqH/Vu1X/Uu0LjUceKmEcdyx91zHjUsxfCAbE01RXUH3UuAKqqVVBXAAPPNDCVn5dTqeAJYmXnpZYrKGTklyuU5AO5KSCioCi/ILVIoTy/KAXIKy5ITM7MSwcpVv//HwA"
"Av{(⍺≤⍵)>b\z<¯1↓1,z←⍵/⍨b←⍵≤⍺}Bv","Cumulative less than or equal scan on each subvector of Bv indicated by Av (Fast ∊≤\¨Av⊂Bv)","⎕← 1 0 0 0 1 0 0 {(⍺≤⍵)>b\z<¯1↓1,z←⍵/⍨b←⍵≤⍺} 1 0 1 0 1 1 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFQzAEEJXazzq3fWoc8mj3q2adkkxVTaH1hs@aptsqFMFVAsU1H/UuyIJwgSr2lUL1gjBQPL/fwA"
"{⍵+.×⍨*○0J¯2×n÷⍨∘.×⍨¯1+⍳n←≢⍵}Nv","Discrete Fourier Transformation","⎕← {⍵+.×⍨*○0J¯2×n÷⍨∘.×⍨¯1+⍳n←≢⍵} 1 2j¯1 0j¯1 ¯1j2","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSqH/Vu1dY7PP1R7wqtR9O7DbwOrTc6PD3v8HagwKOOGRCZQ@sNtR/1bs4DanjUuQioo1bBUMEoCyisYAAmgTjL6P9/AA"
"{(']'≢⊃⌽⍕⍵)⊣∘⍵.⎕DF⍵.⎕DF⎕NULL}Ys","Is object Ys named?","'named'⎕NS⍬
anonymous ← ⎕NS⍬
⎕← {(']'≢⊃⌽⍕⍵)⊣∘⍵.⎕DF⍵.⎕DF⎕NULL} named
⎕← {(']'≢⊃⌽⍕⍵)⊣∘⍵.⎕DF⍵.⎕DF⎕NULL} anonymous","https://tio.run/##SyzI0U2pTMzJT///Xz0vMTc1Rf1R31S/4Ee9a7gS8/LzKnPzS4sVHrVNUIALAxkgfrWGeqz6o85Fj7qaH/XsfdQ79VHvVs1HXYsfdcwAsvSAqlzcEAyg5lAfn1oFsBWUGQF31v//AA"
"{n÷⍨⍵+.×⍨*○0J2×n÷⍨∘.×⍨¯1+⍳n←≢⍵}Nv","Inverse Discrete Fourier Transformation","⎕← {n÷⍨⍵+.×⍨*○0J2×n÷⍨∘.×⍨¯1+⍳n←≢⍵} 2 ¯2J¯2 0J¯2 4J4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSq8w5vf9S74lHvVm29w9OBLK1H07sNvIwOT4dKdMyAiB9ab6j9qHdzHlDTo85FQPW1CkYKh9YbeQGxggGYNPEy@f8fAA"
"{(⎕NS⍬)(⍎⊢⊣)⍕(⊣⌿⍵)'←↓⍉1↓⍵'}Ym","Convert table (matrix with names in header row) into namespace of column vectors","⎕← ⎕JSON {(⎕NS⍬)(⍎⊢⊣)⍕(⊣⌿⍵)'←↓⍉1↓⍵'} 3 3⍴'Name' 'Age' 'Zipcode' 'Bob' '21' '30102' 'Sally' '32' '43001'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAlFewv59CtQaQ5Rf8qHeNpsaj3r5HXYsedS3WfNQ7VQNIP@rZ/6h3q6Y6UMOjtsmPejsNwdRW9VoFYwXjR71b1P0Sc1PVFdQd00FkVGZBcn4KiOWUnwQkjQyBhLGBoYERkA5OzMmpBPFBHBNjAwND9f//AQ"
